,O*NET-SOC Code,Title,Description,Description_Abilities,Description_Knowledge,Description_Skills,Description_Tech,Description_Interests,Description_Job
402,27-3099.00,"Media and Communication Workers, All Other",All media and communication workers not listed separately.,,,,,,"Media and Communication Workers, All Other All media and communication workers not listed separately.     "
403,27-4011.00,Audio and Video Technicians,"Set up, maintain, and dismantle audio and video equipment, such as microphones, sound speakers, connecting wires and cables, sound and mixing boards, video cameras, video monitors and servers, and related electronic equipment for live or recorded events, such as concerts, meetings, conventions, presentations, podcasts, news conferences, and sporting events.",Abilities:The ability to see details at close range (within a few feet of the observer). The ability to communicate information and ideas in speaking so others will understand. The ability to listen to and understand information and ideas presented through spoken words and sentences.,"Knowledge:Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming. Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media. Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.","Skills:Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action. Understanding written sentences and paragraphs in work-related documents. Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems.",Tech:Microsoft Excel Microsoft Office software Microsoft PowerPoint Zoom,"Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Tertiary-Cutoff/Rank Descriptiveness Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.","Audio and Video Technicians Set up, maintain, and dismantle audio and video equipment, such as microphones, sound speakers, connecting wires and cables, sound and mixing boards, video cameras, video monitors and servers, and related electronic equipment for live or recorded events, such as concerts, meetings, conventions, presentations, podcasts, news conferences, and sporting events. Abilities:The ability to see details at close range (within a few feet of the observer). The ability to communicate information and ideas in speaking so others will understand. The ability to listen to and understand information and ideas presented through spoken words and sentences. Knowledge:Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming. Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media. Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Skills:Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action. Understanding written sentences and paragraphs in work-related documents. Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Tech:Microsoft Excel Microsoft Office software Microsoft PowerPoint Zoom Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Tertiary-Cutoff/Rank Descriptiveness Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service."
404,27-4012.00,Broadcast Technicians,"Set up, operate, and maintain the electronic equipment used to acquire, edit, and transmit audio and video for radio or television programs. Control and adjust incoming and outgoing broadcast signals to regulate sound volume, signal strength, and signal clarity. Operate satellite, microwave, or other transmitter equipment to broadcast radio or television programs.",Abilities:The ability to see details at close range (within a few feet of the observer). The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to read and understand information and ideas presented in writing.,"Knowledge:Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming. Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems. Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.","Skills:Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action.",Tech:Adobe Systems Adobe Audition Adobe Systems Adobe Photoshop Microsoft Excel Microsoft Office software Microsoft Outlook,"Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Secondary-Cutoff/Rank Descriptiveness Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.","Broadcast Technicians Set up, operate, and maintain the electronic equipment used to acquire, edit, and transmit audio and video for radio or television programs. Control and adjust incoming and outgoing broadcast signals to regulate sound volume, signal strength, and signal clarity. Operate satellite, microwave, or other transmitter equipment to broadcast radio or television programs. Abilities:The ability to see details at close range (within a few feet of the observer). The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to read and understand information and ideas presented in writing. Knowledge:Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming. Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems. Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming. Skills:Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action. Tech:Adobe Systems Adobe Audition Adobe Systems Adobe Photoshop Microsoft Excel Microsoft Office software Microsoft Outlook Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Secondary-Cutoff/Rank Descriptiveness Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources."
405,27-4014.00,Sound Engineering Technicians,"Assemble and operate equipment to record, synchronize, mix, edit, or reproduce sound, including music, voices, or sound effects, for theater, video, film, television, podcasts, sporting events, and other productions.",Abilities:The ability to see details at close range (within a few feet of the observer). The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to communicate information and ideas in speaking so others will understand.,"Knowledge:Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming. Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services. Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.","Skills:Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Talking to others to convey information effectively. Understanding written sentences and paragraphs in work-related documents.",,"Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art. Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.","Sound Engineering Technicians Assemble and operate equipment to record, synchronize, mix, edit, or reproduce sound, including music, voices, or sound effects, for theater, video, film, television, podcasts, sporting events, and other productions. Abilities:The ability to see details at close range (within a few feet of the observer). The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to communicate information and ideas in speaking so others will understand. Knowledge:Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming. Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services. Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media. Skills:Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Talking to others to convey information effectively. Understanding written sentences and paragraphs in work-related documents.  Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art. Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources."
406,27-4015.00,Lighting Technicians,"Set up, maintain, and dismantle light fixtures, lighting control devices, and the associated lighting electrical and rigging equipment used for photography, television, film, video, and live productions. May focus or operate light fixtures, or attach color filters or other lighting accessories.",,,,,,"Lighting Technicians Set up, maintain, and dismantle light fixtures, lighting control devices, and the associated lighting electrical and rigging equipment used for photography, television, film, video, and live productions. May focus or operate light fixtures, or attach color filters or other lighting accessories.     "
407,27-4021.00,Photographers,"Photograph people, landscapes, merchandise, or other subjects. May use lighting equipment to enhance a subject's appearance. May use editing software to produce finished images and prints. Includes commercial and industrial photographers, scientific photographers, and photojournalists.","Abilities:The ability to see details at close range (within a few feet of the observer). The ability to communicate information and ideas in speaking so others will understand. The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem.","Knowledge:Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction. Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems. Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.","Skills:Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Talking to others to convey information effectively. Actively looking for ways to help people.",Tech:Adobe Systems Adobe Photoshop,"Interests:Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art. Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Primary-Rank Descriptiveness","Photographers Photograph people, landscapes, merchandise, or other subjects. May use lighting equipment to enhance a subject's appearance. May use editing software to produce finished images and prints. Includes commercial and industrial photographers, scientific photographers, and photojournalists. Abilities:The ability to see details at close range (within a few feet of the observer). The ability to communicate information and ideas in speaking so others will understand. The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem. Knowledge:Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction. Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems. Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming. Skills:Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Talking to others to convey information effectively. Actively looking for ways to help people. Tech:Adobe Systems Adobe Photoshop Interests:Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art. Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Primary-Rank Descriptiveness"
408,27-4031.00,"Camera Operators, Television, Video, and Film","Operate television, video, or film camera to record images or scenes for television, video, or film productions.",Abilities:The ability to imagine how something will look after it is moved around or when its parts are moved or rearranged. The ability to see details at close range (within a few feet of the observer). The ability to see details at a distance.,"Knowledge:Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming. Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.","Skills:Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Understanding written sentences and paragraphs in work-related documents. Talking to others to convey information effectively.",Tech:Adobe Systems Adobe After Effects Adobe Systems Adobe Creative Cloud software Adobe Systems Adobe Photoshop Adobe Systems Adobe Premiere Pro Apple Final Cut Pro,"Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art. Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.","Camera Operators, Television, Video, and Film Operate television, video, or film camera to record images or scenes for television, video, or film productions. Abilities:The ability to imagine how something will look after it is moved around or when its parts are moved or rearranged. The ability to see details at close range (within a few feet of the observer). The ability to see details at a distance. Knowledge:Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming. Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media. Skills:Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Understanding written sentences and paragraphs in work-related documents. Talking to others to convey information effectively. Tech:Adobe Systems Adobe After Effects Adobe Systems Adobe Creative Cloud software Adobe Systems Adobe Photoshop Adobe Systems Adobe Premiere Pro Apple Final Cut Pro Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art. Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources."
409,27-4032.00,Film and Video Editors,"Edit moving images on film, video, or other media. May work with a producer or director to organize images for final production. May edit or synchronize soundtracks with images.",Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to see details at close range (within a few feet of the observer). The ability to communicate information and ideas in speaking so others will understand.,"Knowledge:Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media. Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.","Skills:Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Understanding written sentences and paragraphs in work-related documents.",Tech:Adobe Systems Adobe After Effects Adobe Systems Adobe Creative Cloud software Adobe Systems Adobe Illustrator Adobe Systems Adobe Photoshop Adobe Systems Adobe Premiere Pro Apple Final Cut Pro TikTok Video editing software,"Interests:Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art. Secondary-Cutoff/Rank Descriptiveness Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.","Film and Video Editors Edit moving images on film, video, or other media. May work with a producer or director to organize images for final production. May edit or synchronize soundtracks with images. Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to see details at close range (within a few feet of the observer). The ability to communicate information and ideas in speaking so others will understand. Knowledge:Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media. Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming. Skills:Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Understanding written sentences and paragraphs in work-related documents. Tech:Adobe Systems Adobe After Effects Adobe Systems Adobe Creative Cloud software Adobe Systems Adobe Illustrator Adobe Systems Adobe Photoshop Adobe Systems Adobe Premiere Pro Apple Final Cut Pro TikTok Video editing software Interests:Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art. Secondary-Cutoff/Rank Descriptiveness Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service."
410,27-4099.00,"Media and Communication Equipment Workers, All Other",All media and communication equipment workers not listed separately.,,,,,,"Media and Communication Equipment Workers, All Other All media and communication equipment workers not listed separately.     "
411,29-1011.00,Chiropractors,"Assess, treat, and care for patients by manipulation of spine and musculoskeletal system. May provide spinal adjustment or address sacral or pelvic misalignment.",Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to read and understand information and ideas presented in writing. The ability to communicate information and ideas in speaking so others will understand.,"Knowledge:Knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures. Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.","Skills:Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Understanding written sentences and paragraphs in work-related documents. Talking to others to convey information effectively.",,"Interests:Work involves helping, teaching, advising, assisting, or providing service to others. Social occupations are often associated with social, health care, personal service, teaching/education, or religious activities. Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.","Chiropractors Assess, treat, and care for patients by manipulation of spine and musculoskeletal system. May provide spinal adjustment or address sacral or pelvic misalignment. Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to read and understand information and ideas presented in writing. The ability to communicate information and ideas in speaking so others will understand. Knowledge:Knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures. Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction. Skills:Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Understanding written sentences and paragraphs in work-related documents. Talking to others to convey information effectively.  Interests:Work involves helping, teaching, advising, assisting, or providing service to others. Social occupations are often associated with social, health care, personal service, teaching/education, or religious activities. Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services."
412,29-1021.00,"Dentists, General","Examine, diagnose, and treat diseases, injuries, and malformations of teeth and gums. May treat diseases of nerve, pulp, and other dental tissues affecting oral hygiene and retention of teeth. May fit dental appliances or provide preventive care.","Abilities:The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing that there is a problem. The ability to make precisely coordinated movements of the fingers of one or both hands to grasp, manipulate, or assemble very small objects. The ability to apply general rules to specific problems to produce answers that make sense.","Knowledge:Knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures. Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction. Knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures.","Skills:Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Considering the relative costs and benefits of potential actions to choose the most appropriate one. Understanding written sentences and paragraphs in work-related documents.",,"Interests:Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Tertiary-Cutoff/Rank Descriptiveness","Dentists, General Examine, diagnose, and treat diseases, injuries, and malformations of teeth and gums. May treat diseases of nerve, pulp, and other dental tissues affecting oral hygiene and retention of teeth. May fit dental appliances or provide preventive care. Abilities:The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing that there is a problem. The ability to make precisely coordinated movements of the fingers of one or both hands to grasp, manipulate, or assemble very small objects. The ability to apply general rules to specific problems to produce answers that make sense. Knowledge:Knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures. Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction. Knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures. Skills:Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Considering the relative costs and benefits of potential actions to choose the most appropriate one. Understanding written sentences and paragraphs in work-related documents.  Interests:Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Tertiary-Cutoff/Rank Descriptiveness"
413,29-1022.00,Oral and Maxillofacial Surgeons,"Perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects. May diagnose problems of the oral and maxillofacial regions. May perform surgery to improve function or appearance.","Abilities:The ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position. The ability to make precisely coordinated movements of the fingers of one or both hands to grasp, manipulate, or assemble very small objects. The ability to see details at close range (within a few feet of the observer).","Knowledge:Knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures. Knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures. Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment.",Skills:Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions. Considering the relative costs and benefits of potential actions to choose the most appropriate one. Understanding written sentences and paragraphs in work-related documents.,,"Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Work involves helping, teaching, advising, assisting, or providing service to others. Social occupations are often associated with social, health care, personal service, teaching/education, or religious activities. Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.","Oral and Maxillofacial Surgeons Perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects. May diagnose problems of the oral and maxillofacial regions. May perform surgery to improve function or appearance. Abilities:The ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position. The ability to make precisely coordinated movements of the fingers of one or both hands to grasp, manipulate, or assemble very small objects. The ability to see details at close range (within a few feet of the observer). Knowledge:Knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures. Knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures. Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment. Skills:Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions. Considering the relative costs and benefits of potential actions to choose the most appropriate one. Understanding written sentences and paragraphs in work-related documents.  Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Work involves helping, teaching, advising, assisting, or providing service to others. Social occupations are often associated with social, health care, personal service, teaching/education, or religious activities. Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service."
